,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
150,15119,EDELWEISS-EQ,EDELWEISS,,-1.000000,1,,NSE,5.000000
151,1023,FEDERALBNK-EQ,FEDERALBNK,,-1.000000,1,,NSE,5.000000
152,1044,AXISBNKETF-EQ,AXISBNKETF,,-1.000000,1,,NSE,1.000000
153,1660,ITC-EQ,ITC,,-1.000000,1,,NSE,5.000000
154,7463,MANAKSTEEL-EQ,MANAKSTEEL,,-1.000000,1,,NSE,5.000000
155,16222,EBBETF0423-EQ,EBBETF0423,,-1.000000,1,,NSE,1.000000
156,14597,ALPHAGEO-EQ,ALPHAGEO,,-1.000000,1,,NSE,5.000000
157,11399,SALZERELEC-EQ,SALZERELEC,,-1.000000,1,,NSE,5.000000
158,21508,COCHINSHIP-EQ,COCHINSHIP,,-1.000000,1,,NSE,5.000000
159,16045,PRINCEPIPE-EQ,PRINCEPIPE,,-1.000000,1,,NSE,5.000000
160,10932,RADAAN-EQ,RADAAN,,-1.000000,1,,NSE,5.000000
161,2454,CENTRUM-EQ,CENTRUM,,-1.000000,1,,NSE,5.000000
162,10753,UNIONBANK-EQ,UNIONBANK,,-1.000000,1,,NSE,5.000000
163,13211,JAGRAN-EQ,JAGRAN,,-1.000000,1,,NSE,5.000000
164,19937,KILITCH-EQ,KILITCH,,-1.000000,1,,NSE,5.000000
165,6278,MEDICAMEQ-EQ,MEDICAMEQ,,-1.000000,1,,NSE,5.000000
166,383,BEL-EQ,BEL,,-1.000000,1,,NSE,5.000000
167,212,ASHOKLEY-EQ,ASHOKLEY,,-1.000000,1,,NSE,5.000000
168,1100,GARFIBRES-EQ,GARFIBRES,,-1.000000,1,,NSE,5.000000
169,14922,PURVA-EQ,PURVA,,-1.000000,1,,NSE,5.000000
170,29577,NIF100BEES-EQ,NIF100BEES,,-1.000000,1,,NSE,1.000000
171,7129,ZODIAC-EQ,ZODIAC,,-1.000000,1,,NSE,5.000000
172,7529,LCCINFOTEC-EQ,LCCINFOTEC,,-1.000000,1,,NSE,5.000000
173,19761,ADFFOODS-EQ,ADFFOODS,,-1.000000,1,,NSE,5.000000
174,6302,APOLSINHOT-EQ,APOLSINHOT,,-1.000000,1,,NSE,5.000000
175,8890,VERANDA-EQ,VERANDA,,-1.000000,1,,NSE,5.000000
176,7105,TEGA-EQ,TEGA,,-1.000000,1,,NSE,5.000000
177,4587,RAMCOIND-EQ,RAMCOIND,,-1.000000,1,,NSE,5.000000
178,11961,REVATHI-EQ,REVATHI,,-1.000000,1,,NSE,5.000000
179,5701,CUB-EQ,CUB,,-1.000000,1,,NSE,5.000000
180,7420,MANAKALUCO-EQ,MANAKALUCO,,-1.000000,1,,NSE,5.000000
181,6068,AIROLAM-EQ,AIROLAM,,-1.000000,1,,NSE,5.000000
182,1127,GHCL-EQ,GHCL,,-1.000000,1,,NSE,5.000000
183,3129,SHREYAS-EQ,SHREYAS,,-1.000000,1,,NSE,5.000000
184,6489,IRIS-EQ,IRIS,,-1.000000,1,,NSE,5.000000
185,1497,SHIVAMILLS-EQ,SHIVAMILLS,,-1.000000,1,,NSE,5.000000
186,8506,MID150BEES-EQ,MID150BEES,,-1.000000,1,,NSE,1.000000
187,10871,GRMOVER-EQ,GRMOVER,,-1.000000,1,,NSE,5.000000
188,17987,TRF-EQ,TRF,,-1.000000,1,,NSE,5.000000
189,14255,REDINGTON-EQ,REDINGTON,,-1.000000,1,,NSE,5.000000
190,641,DNAMEDIA-EQ,DNAMEDIA,,-1.000000,1,,NSE,5.000000
191,9558,AKSHAR-EQ,AKSHAR,,-1.000000,1,,NSE,5.000000
192,1415,GLOBAL-EQ,GLOBAL,,-1.000000,1,,NSE,5.000000
193,2627,KOTAKIT-EQ,KOTAKIT,,-1.000000,1,,NSE,1.000000
194,1204,PRAXIS-EQ,PRAXIS,,-1.000000,1,,NSE,5.000000
195,8842,UMAEXPORTS-EQ,UMAEXPORTS,,-1.000000,1,,NSE,5.000000
196,2106,MANGLMCEM-EQ,MANGLMCEM,,-1.000000,1,,NSE,5.000000
197,20178,AKSHARCHEM-EQ,AKSHARCHEM,,-1.000000,1,,NSE,5.000000
198,445,5PAISA-EQ,5PAISA,,-1.000000,1,,NSE,5.000000
199,8175,SAGARDEEP-EQ,SAGARDEEP,,-1.000000,1,,NSE,5.000000
200,10530,SHARDAMOTR-EQ,SHARDAMOTR,,-1.000000,1,,NSE,5.000000
201,1214,DELTAMAGNT-EQ,DELTAMAGNT,,-1.000000,1,,NSE,5.000000
202,20160,CANTABIL-EQ,CANTABIL,,-1.000000,1,,NSE,5.000000
203,10099,GODREJCP-EQ,GODREJCP,,-1.000000,1,,NSE,5.000000
204,20790,SUMEETINDS-EQ,SUMEETINDS,,-1.000000,1,,NSE,5.000000
205,25082,TREEHOUSE-EQ,TREEHOUSE,,-1.000000,1,,NSE,5.000000
206,19211,HMVL-EQ,HMVL,,-1.000000,1,,NSE,5.000000
207,10457,ARVSMART-EQ,ARVSMART,,-1.000000,1,,NSE,5.000000
208,4116,HBSL-EQ,HBSL,,-1.000000,1,,NSE,5.000000
209,18214,TEXMOPIPES-EQ,TEXMOPIPES,,-1.000000,1,,NSE,5.000000
210,11987,ICIL-EQ,ICIL,,-1.000000,1,,NSE,5.000000
211,3405,TATACHEM-EQ,TATACHEM,,-1.000000,1,,NSE,5.000000
212,11386,ICICIBANKP-EQ,ICICIBANKP,,-1.000000,1,,NSE,1.000000
213,14403,RAJTV-EQ,RAJTV,,-1.000000,1,,NSE,5.000000
214,11522,NIITLTD-EQ,NIITLTD,,-1.000000,1,,NSE,5.000000
215,13900,CREST-EQ,CREST,,-1.000000,1,,NSE,5.000000
216,9305,STARTECK-EQ,STARTECK,,-1.000000,1,,NSE,5.000000
217,2181,BOSCHLTD-EQ,BOSCHLTD,,-1.000000,1,,NSE,5.000000
218,14677,GUJAPOLLO-EQ,GUJAPOLLO,,-1.000000,1,,NSE,5.000000
219,6943,TARSONS-EQ,TARSONS,,-1.000000,1,,NSE,5.000000
220,14607,TGBHOTELS-EQ,TGBHOTELS,,-1.000000,1,,NSE,5.000000
221,19531,BAJAJCON-EQ,BAJAJCON,,-1.000000,1,,NSE,5.000000
222,5614,GANESHBE-EQ,GANESHBE,,-1.000000,1,,NSE,5.000000
223,17625,MOLDTECH-EQ,MOLDTECH,,-1.000000,1,,NSE,5.000000
224,3918,NATCOPHARM-EQ,NATCOPHARM,,-1.000000,1,,NSE,5.000000
225,5578,AMIORG-EQ,AMIORG,,-1.000000,1,,NSE,5.000000
226,11223,UCOBANK-EQ,UCOBANK,,-1.000000,1,,NSE,5.000000
227,634,IGARASHI-EQ,IGARASHI,,-1.000000,1,,NSE,5.000000
228,1085,GABRIEL-EQ,GABRIEL,,-1.000000,1,,NSE,5.000000
229,17547,AMRUTANJAN-EQ,AMRUTANJAN,,-1.000000,1,,NSE,5.000000
230,13,ABB-EQ,ABB,,-1.000000,1,,NSE,5.000000
231,13126,REPRO-EQ,REPRO,,-1.000000,1,,NSE,5.000000
232,14223,TIIL-EQ,TIIL,,-1.000000,1,,NSE,5.000000
233,18652,ICICIPRULI-EQ,ICICIPRULI,,-1.000000,1,,NSE,5.000000
234,1508,ASTERDM-EQ,ASTERDM,,-1.000000,1,,NSE,5.000000
235,5435,APTUS-EQ,APTUS,,-1.000000,1,,NSE,5.000000
236,29598,REPCOHOME-EQ,REPCOHOME,,-1.000000,1,,NSE,5.000000
237,6018,ABSLAMC-EQ,ABSLAMC,,-1.000000,1,,NSE,5.000000
238,19142,UMESLTD-EQ,UMESLTD,,-1.000000,1,,NSE,5.000000
239,2739,PRSMJOHNSN-EQ,PRSMJOHNSN,,-1.000000,1,,NSE,5.000000
240,6164,BHAGCHEM-EQ,BHAGCHEM,,-1.000000,1,,NSE,5.000000
241,9917,NEOGEN-EQ,NEOGEN,,-1.000000,1,,NSE,5.000000
242,7936,AVANTIFEED-EQ,AVANTIFEED,,-1.000000,1,,NSE,5.000000
243,15136,KAUSHALYA-EQ,KAUSHALYA,,-1.000000,1,,NSE,5.000000
244,25358,PGEL-EQ,PGEL,,-1.000000,1,,NSE,5.000000
245,3787,WIPRO-EQ,WIPRO,,-1.000000,1,,NSE,5.000000
246,1200,MAESGETF-EQ,MAESGETF,,-1.000000,1,,NSE,1.000000
247,17032,THYROCARE-EQ,THYROCARE,,-1.000000,1,,NSE,5.000000
248,3475,THERMAX-EQ,THERMAX,,-1.000000,1,,NSE,5.000000
249,804,SHIVATEX-EQ,SHIVATEX,,-1.000000,1,,NSE,5.000000
250,17933,BEARDSELL-EQ,BEARDSELL,,-1.000000,1,,NSE,5.000000
251,11943,MCLEODRUSS-EQ,MCLEODRUSS,,-1.000000,1,,NSE,5.000000
252,11271,DREDGECORP-EQ,DREDGECORP,,-1.000000,1,,NSE,5.000000
253,559,BSL-EQ,BSL,,-1.000000,1,,NSE,5.000000
254,9592,VENUSPIPES-EQ,VENUSPIPES,,-1.000000,1,,NSE,5.000000
255,2998,SUVIDHAA-EQ,SUVIDHAA,,-1.000000,1,,NSE,5.000000
256,9685,TRIDENT-EQ,TRIDENT,,-1.000000,1,,NSE,5.000000
257,13197,GSPL-EQ,GSPL,,-1.000000,1,,NSE,5.000000
258,3727,ANMOL-EQ,ANMOL,,-1.000000,1,,NSE,5.000000
259,11840,NH-EQ,NH,,-1.000000,1,,NSE,5.000000
260,11884,MANINDS-EQ,MANINDS,,-1.000000,1,,NSE,5.000000
261,24190,SYMPHONY-EQ,SYMPHONY,,-1.000000,1,,NSE,5.000000
262,4279,DENORA-EQ,DENORA,,-1.000000,1,,NSE,5.000000
263,6353,MAN50ETF-EQ,MAN50ETF,,-1.000000,1,,NSE,1.000000
264,3626,ICICIPHARM-EQ,ICICIPHARM,,-1.000000,1,,NSE,1.000000
265,31234,SCHNEIDER-EQ,SCHNEIDER,,-1.000000,1,,NSE,5.000000
266,9480,LICI-EQ,LICI,,-1.000000,1,,NSE,5.000000
267,2107,STOVEKRAFT-EQ,STOVEKRAFT,,-1.000000,1,,NSE,5.000000
268,13270,JKCEMENT-EQ,JKCEMENT,,-1.000000,1,,NSE,5.000000
269,12018,SUZLON-EQ,SUZLON,,-1.000000,1,,NSE,5.000000
270,3348,SUNFLAG-EQ,SUNFLAG,,-1.000000,1,,NSE,5.000000
271,8771,MEP-EQ,MEP,,-1.000000,1,,NSE,5.000000
272,14339,GANESHHOUC-EQ,GANESHHOUC,,-1.000000,1,,NSE,5.000000
273,330,VALIANTORG-EQ,VALIANTORG,,-1.000000,1,,NSE,5.000000
274,19679,ICICIGOLD-EQ,ICICIGOLD,,-1.000000,1,,NSE,1.000000
275,10794,CANBK-EQ,CANBK,,-1.000000,1,,NSE,5.000000
276,20086,CAREERP-EQ,CAREERP,,-1.000000,1,,NSE,5.000000
277,6286,GULPOLY-EQ,GULPOLY,,-1.000000,1,,NSE,5.000000
278,17272,SETFGOLD-EQ,SETFGOLD,,-1.000000,1,,NSE,1.000000
279,6951,LINC-EQ,LINC,,-1.000000,1,,NSE,5.000000
280,10637,OLECTRA-EQ,OLECTRA,,-1.000000,1,,NSE,5.000000
281,20063,SASTASUNDR-EQ,SASTASUNDR,,-1.000000,1,,NSE,5.000000
282,1708,JAYBARMARU-EQ,JAYBARMARU,,-1.000000,1,,NSE,5.000000
283,5168,SBIETFCON-EQ,SBIETFCON,,-1.000000,1,,NSE,1.000000
284,547,BRITANNIA-EQ,BRITANNIA,,-1.000000,1,,NSE,5.000000
285,13925,NFL-EQ,NFL,,-1.000000,1,,NSE,5.000000
286,18889,KSL-EQ,KSL,,-1.000000,1,,NSE,5.000000
287,6297,HEALTHY-EQ,HEALTHY,,-1.000000,1,,NSE,1.000000
288,10945,TMB-EQ,TMB,,-1.000000,1,,NSE,5.000000
289,14848,ALPA-EQ,ALPA,,-1.000000,1,,NSE,5.000000
290,24265,ESTER-EQ,ESTER,,-1.000000,1,,NSE,5.000000
291,17514,SETCO-EQ,SETCO,,-1.000000,1,,NSE,5.000000
292,15229,LICNFNHGP-EQ,LICNFNHGP,,-1.000000,1,,NSE,1.000000
293,3493,TINPLATE-EQ,TINPLATE,,-1.000000,1,,NSE,5.000000
294,13147,PVR-EQ,PVR,,-1.000000,1,,NSE,5.000000
295,11606,GUFICBIO-EQ,GUFICBIO,,-1.000000,1,,NSE,5.000000
296,4491,JCHAC-EQ,JCHAC,,-1.000000,1,,NSE,5.000000
297,10576,NIFTYBEES-EQ,NIFTYBEES,,-1.000000,1,,NSE,1.000000
298,368,BASF-EQ,BASF,,-1.000000,1,,NSE,5.000000
